epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.057,1.16086,3.08304,1.34501,0.00417,0.9995,0.27119,0.19751,0.90964,2.74752,1.08471,0.067264,0.000330667,0.000330667
2,264.61,0.96067,2.41199,1.14522,0.28405,0.8405,0.53802,0.40993,0.84722,2.07413,1.00259,0.0342311,0.000631132,0.000631132
3,398.946,0.88608,1.84326,1.07026,0.68412,0.76356,0.80662,0.64103,0.75798,1.66537,0.95626,0.00116526,0.000898597,0.000898597
4,534.381,0.77549,1.41191,1.01935,0.95287,0.91259,0.95362,0.77156,0.70141,1.19551,0.9209,0.0008515,0.0008515,0.0008515
5,669.637,0.72921,1.14362,1.00014,0.96824,0.9505,0.97893,0.82199,0.60739,1.05008,0.88148,0.000802,0.000802,0.000802
6,802.904,0.6996,0.99322,0.98622,0.97048,0.97282,0.98015,0.82558,0.59534,1.04003,0.87545,0.0007525,0.0007525,0.0007525
7,939.543,0.67142,0.9207,0.97994,0.96818,0.97803,0.98376,0.84519,0.58047,0.94911,0.86405,0.000703,0.000703,0.000703
8,1075.8,0.64092,0.85832,0.97073,0.97381,0.9574,0.98093,0.85423,0.54647,0.93143,0.85305,0.0006535,0.0006535,0.0006535
9,1211.67,0.63342,0.82197,0.97248,0.98394,0.97893,0.98636,0.8642,0.52816,0.89157,0.84325,0.000604,0.000604,0.000604
10,1348.33,0.62416,0.79636,0.97013,0.98047,0.97932,0.98427,0.8717,0.50143,0.85255,0.83543,0.0005545,0.0005545,0.0005545
11,1482.73,0.58724,1.03025,0.95733,0.97859,0.975,0.98663,0.87803,0.49797,0.93916,0.82871,0.000505,0.000505,0.000505
12,1618.06,0.57685,0.88963,0.93716,0.98132,0.97914,0.98922,0.86485,0.52781,0.87901,0.83709,0.0004555,0.0004555,0.0004555
13,1752.7,0.55851,0.82174,0.93017,0.97921,0.98098,0.99268,0.8801,0.50593,0.83047,0.82987,0.000406,0.000406,0.000406
14,1888.68,0.54556,0.79815,0.92852,0.98873,0.98705,0.99367,0.88398,0.49726,0.78495,0.82439,0.0003565,0.0003565,0.0003565
15,2023.18,0.54048,0.75336,0.92683,0.98914,0.98891,0.99409,0.88787,0.48928,0.76139,0.81943,0.000307,0.000307,0.000307
16,2158.28,0.52401,0.72744,0.92727,0.99064,0.99141,0.99448,0.8932,0.46845,0.73897,0.81569,0.0002575,0.0002575,0.0002575
17,2291.86,0.5118,0.70547,0.91866,0.99311,0.98894,0.99464,0.89228,0.47354,0.72352,0.81525,0.000208,0.000208,0.000208
18,2426.23,0.50876,0.68862,0.91632,0.9936,0.99296,0.9947,0.8937,0.47085,0.69545,0.8136,0.0001585,0.0001585,0.0001585
19,2560.44,0.50366,0.67379,0.91177,0.99287,0.99361,0.99482,0.89683,0.46743,0.68978,0.81279,0.000109,0.000109,0.000109
20,2695.15,0.51129,0.67415,0.91669,0.99342,0.99248,0.99478,0.89269,0.4688,0.69008,0.81306,5.95e-05,5.95e-05,5.95e-05
